,collocate,raw_frequency,MI
160,slapin,1,14.826455713046059
277,cat,494,14.826455713046059
139,magnetises,1,14.826455713046059
252,sekhet,1,14.826455713046059
203,undomesticated,1,14.826455713046059
260,sunned,1,14.826455713046059
375,miaou,1,14.826455713046059
432,filippina,1,14.826455713046059
35,vivisected,1,14.826455713046059
256,pussy,9,14.241493212324903
393,elaborates,2,13.826455713046059
354,purring,20,12.826455713046059
61,spotty,4,12.826455713046059
189,plumy,4,12.826455713046059
108,shrewish,5,12.504527618158697
402,cheshire,6,12.241493212324903
293,expands,7,12.019100790988455
440,skinning,8,11.826455713046059
264,drowsing,8,11.826455713046059
395,elaborated,9,11.656530711603747
341,japan,31,11.45722190338034
87,persian,63,11.434138290267299
90,mummies,11,11.367024094408762
225,ambled,11,11.367024094408762
437,tabby,31,10.872259402659184
89,heaping,17,10.73899287179572
258,chargers,18,10.656530711603747
215,bestows,18,10.656530711603747
378,poaching,19,10.578528199602474
13,oud,21,10.434138290267299
86,tiger,110,10.367024094408762
85,jumps,46,10.302893756989047
271,fondling,26,10.126015994904968
97,brownish,29,9.968474717918488
176,whistles,29,9.968474717918488
218,stealthy,89,9.935684782800818
167,sh,30,9.919565117437541
280,sidled,30,9.919565117437541
359,canaries,31,9.872259402659184
332,pounced,32,9.826455713046059
219,unattractive,33,9.782061593687606
414,basking,34,9.73899287179572
178,tortoise,35,9.697172696101093
171,steals,37,9.61700234741711
415,boxed,43,9.400190958343961
337,aimless,43,9.400190958343961
214,watches,129,9.400190958343961
157,wrathful,45,9.334602616716385
100,flared,45,9.334602616716385
82,howled,47,9.271866861368421
400,bitten,94,9.271866861368421
208,fingered,48,9.241493212324903
237,stroking,98,9.211745868930851
172,lets,101,9.168244230294265
343,poking,52,9.126015994904968
352,disreputable,52,9.126015994904968
435,torturing,54,9.07156821088259
391,licked,55,9.045095999521399
335,scratching,58,8.968474717918488
410,supercilious,59,8.943812663684218
78,dislikes,60,8.919565117437541
302,hag,62,8.872259402659184
66,missus,125,8.860671428383972
387,whistled,126,8.849175789546143
408,petted,63,8.849175789546143
243,slunk,64,8.826455713046059
47,crouching,130,8.804087900017604
356,assisting,65,8.804087900017604
37,enraged,66,8.782061593687606
77,mordaunt,67,8.760366522588287
353,tommy,135,8.749640115995229
322,writhing,68,8.73899287179572
99,stray,138,8.71793125626789
23,paws,71,8.676708593541377
75,dozing,72,8.656530711603747
182,flitting,73,8.636631154166041
64,spies,73,8.636631154166041
79,starved,146,8.636631154166041
274,privileged,74,8.61700234741711
374,strolling,75,8.59763702255018
403,decently,82,8.468903708427975
267,plight,93,8.287296901938028
92,maxim,97,8.226542870858932
385,hal,99,8.19709909296645
365,kicking,102,8.154030371074564
390,cleaned,102,8.154030371074564
1,wild,2019,8.094958031158171
137,tame,108,8.07156821088259
262,sporting,110,8.045095999521399
330,interrupting,111,8.032039846695953
288,skins,114,7.9935656988813175
284,drinks,115,7.980965662101684
281,le,231,7.974706671630002
141,oars,120,7.919565117437541
229,strokes,120,7.919565117437541
124,compromise,122,7.895718375483173
3,uses,128,7.82645571304606
193,sandy,130,7.804087900017604
285,leaped,270,7.749640115995228
244,extinguished,138,7.717931256267891
379,favorite,141,7.686904360647266
323,bury,145,7.646546623031124
184,salary,147,7.626783368209695
128,pole,149,7.607287192583898
433,borrowed,149,7.607287192583898
360,swing,151,7.58805097372098
19,gaunt,153,7.569067870353408
292,rail,154,7.559669172351158
261,dog,1715,7.541894470623182
96,trotted,157,7.531834964154433
355,cynical,157,7.531834964154433
304,official,319,7.50904309928119
194,rotten,160,7.504527618158697
236,slid,164,7.468903708427975
436,sly,164,7.468903708427975
329,sleepy,175,7.375244601213731
127,nasty,177,7.358850162963062
147,recollect,180,7.334602616716385
16,lean,367,7.3068194602028465
146,hateful,191,7.249026885010311
377,leila,193,7.233998675777978
62,eyed,579,7.233998675777978
266,curled,195,7.219125399296448
69,method,200,7.182599523271334
358,unfortunately,208,7.126015994904967
430,leap,216,7.071568210882591
88,comfortably,220,7.0450959995214
406,stepping,224,7.019100790988455
407,briefly,225,7.012674521829022
242,hum,226,7.006276750630871
179,shell,229,6.987251924949115
349,killed,691,6.978876313378957
177,calls,467,6.9591769733363975
102,slim,235,6.9499387664810595
317,trap,236,6.943812663684218
207,national,250,6.860671428383972
345,existed,259,6.809647425359505
255,hungry,527,6.784796561408845
315,rubbed,268,6.760366522588287
346,holds,268,6.760366522588287
409,everard,282,6.686904360647266
254,decoud,283,6.681797470214177
71,mountain,855,6.671637603993955
420,latin,290,6.646546623031124
60,sits,299,6.602454038847954
247,tossed,302,6.58805097372098
46,black,4933,6.558206141051566
54,loves,632,6.522674964868957
269,carpet,319,6.50904309928119
245,crossed,991,6.458676966580727
239,watching,1324,6.455768306238841
404,denham,348,6.383512217197331
339,rushing,349,6.379372486836407
312,elderly,357,6.346675449016959
212,dropping,358,6.342639935781803
161,stately,362,6.326609825962854
53,hiding,363,6.322629975050308
32,hell,371,6.291180336425256
389,boats,371,6.291180336425256
253,headed,391,6.215430915738707
301,remains,392,6.211745868930851
95,grey,1663,6.12688325975879
240,lap,417,6.122552139601395
175,penny,419,6.115649279346708
398,paint,424,6.09853525848286
362,bending,432,6.071568210882591
168,haste,465,5.965368807050665
344,letting,467,5.9591769733363975
227,aged,485,5.904614775971569
270,jumped,488,5.895718375483173
413,eating,492,5.88394120770682
56,tom,1987,5.870079555796389
221,forest,501,5.857788919850851
303,monsieur,511,5.8292762321084375
426,magnificent,511,5.8292762321084375
159,big,2103,5.788222578314279
166,regular,530,5.776607163595497
122,angry,1606,5.762162036249901
39,like,28291,5.710825502991869
248,mad,1118,5.699751240202869
336,wounded,563,5.689464600965829
425,remarkable,567,5.67925078810383
438,price,576,5.656530711603747
333,blessed,578,5.651530030545381
101,vanished,595,5.609709854850753
350,fetch,610,5.57379028059581
246,huge,632,5.522674964868957
213,fierce,635,5.515842931386531
107,female,640,5.504527618158697
185,bell,1315,5.465608628866394
119,agreeable,692,5.391827485409334
423,yellow,1396,5.379372486836407
416,muttered,702,5.371128492741499
112,lifted,1437,5.337611366588723
380,janet,722,5.330600686158888
405,buy,725,5.324618528143763
234,faced,733,5.308786324912248
158,seized,734,5.3068194602028465
439,professor,745,5.285359097696535
305,horrible,753,5.269949658374131
376,stepped,763,5.250916466211529
366,slightly,788,5.204403893589683
434,somewhere,826,5.1364577416266135
114,refused,833,5.124283027680511
297,throw,861,5.076586285649215
49,lies,877,5.050022680601326
91,large,3569,5.025151526997036
382,playing,894,5.0223246918627416
210,ma,905,5.004681731075491
65,white,6358,4.999453333965687
143,movement,923,4.976268875400285
230,harm,947,4.939235097577674
273,laugh,1978,4.876629002286949
443,meanwhile,1003,4.856349822433878
134,inside,1012,4.843462138351749
386,sick,1021,4.830688562168257
348,waiting,2061,4.817326923506803
249,lead,1072,4.760366522588287
201,charles,1100,4.723167904634037
326,queen,1127,4.688183912873838
73,seated,1149,4.660292630399946
294,following,1163,4.642820331572841
320,fine,3491,4.641993572214462
331,third,1164,4.641580370137775
314,thin,1174,4.629239019936007
372,legs,1193,4.606077385350831
33,o,5965,4.606077385350831
105,keep,5007,4.536724972962304
52,terrible,1261,4.526103152717839
138,green,2635,4.462868466521482
298,shop,1343,4.435212123618617
444,lives,1366,4.410713944755969
328,running,1367,4.409658185439999
442,darling,1406,4.3690748339735235
113,ways,1414,4.36088930823666
169,jane,1438,4.336607752606762
220,sitting,2926,4.3117416589075725
38,ready,3009,4.271387321712722
192,trying,1509,4.267078622519376
0,a,313437,4.262126701793432
125,let,10757,4.240822472138527
18,poor,9350,4.220667564104854
180,ha,1577,4.203488768255549
199,whose,4753,4.19679552746488
412,watched,1643,4.144338948095985
